SuitID	SuitName	Effect1	Effect2	Effect3	Effect4	Effect5	Effect6	Effect7	Level	SuitParam			
40023	海龙套·魔法师			13=5000		12=250|22=250		11=250|21=250	40	340600|340601|340602|340603|340604|340605|340606	装备	7件套	4
40024	海龙套·牧师			13=5000		12=250|22=250		11=250|21=250	40	440600|440601|440602|440603|440604|440605|440606	装备	7件套	4
40025	海龙套·学者			13=5000		12=250|22=250		11=250|21=250	40	540600|540601|540602|540603|540604|540605|540606	装备	7件套	4
40026	海龙套·刺客			13=5000		12=250|22=250		11=250|21=250	40	640600|640601|640602|640603|640604|640605|640606	装备	7件套	4
40027	海龙套·舞娘			13=5000		12=250|22=250		11=250|21=250	40	740600|740601|740602|740603|740604|740605|740606	装备	7件套	4
50011	天启套·战士			13=3000		12=150|22=150		11=200|21=200	41	150500|150501|150502|150503|150504|150505|150506	装备	7件套	3
50012	天启套·弓箭手			13=3000		12=150|22=150		11=200|21=200	41	250500|250501|250502|250503|250504|250505|250506	装备	7件套	3
50013	天启套·魔法师			13=3000		12=150|22=150		11=200|21=200	41	350500|350501|350502|350503|350504|350505|350506	装备	7件套	3
50014	天启套·牧师			13=3000		12=150|22=150		11=200|21=200	41	450500|450501|450502|450503|450504|450505|450506	装备	7件套	3
50015	天启套·学者			13=3000		12=150|22=150		11=200|21=200	41	550500|550501|550502|550503|550504|550505|550506	装备	7件套	3
50016	天启套·刺客			13=3000		12=150|22=150		11=200|21=200	41	650500|650501|650502|650503|650504|650505|650506	装备	7件套	3
50017	天启套·舞娘			13=3000		12=150|22=150		11=200|21=200	41	750500|750501|750502|750503|750504|750505|750506	装备	7件套	3
60011	大主教套·战士			13=3000		12=150|22=150		11=200|21=200	51	160500|160501|160502|160503|160504|160505|160506	装备	7件套	3
60012	大主教套·弓箭手			13=3000		12=150|22=150		11=200|21=200	51	260500|260501|260502|260503|260504|260505|260506	装备	7件套	3
60013	大主教套·魔法师			13=3000		12=150|22=150		11=200|21=200	51	360500|360501|360502|360503|360504|360505|360506	装备	7件套	3
60014	大主教套·牧师			13=3000		12=150|22=150		11=200|21=200	51	460500|460501|460502|460503|460504|460505|460506	装备	7件套	3
60015	大主教套·学者			13=3000		12=150|22=150		11=200|21=200	51	560500|560501|560502|560503|560504|560505|560506	装备	7件套	3
60016	大主教套·刺客			13=3000		12=150|22=150		11=200|21=200	51	660500|660501|660502|660503|660504|660505|660506	装备	7件套	3
60017	大主教套·舞娘			13=3000		12=150|22=150		11=200|21=200	51	760500|760501|760502|760503|760504|760505|760506	装备	7件套	3
60021	绿龙套·战士			13=5000		12=250|22=250		11=250|21=250	60	160600|160601|160602|160603|160604|160605|160606	装备	7件套	4
60022	绿龙套·弓箭手			13=5000		12=250|22=250		11=250|21=250	60	260600|260601|260602|260603|260604|260605|260606	装备	7件套	4
60023	绿龙套·魔法师			13=5000		12=250|22=250		11=250|21=250	60	360600|360601|360602|360603|360604|360605|360606	装备	7件套	4
60024	绿龙套·牧师			13=5000		12=250|22=250		11=250|21=250	60	460600|460601|460602|460603|460604|460605|460606	装备	7件套	4
60025	绿龙套·学者			13=5000		12=250|22=250		11=250|21=250	60	560600|560601|560602|560603|560604|560605|560606	装备	7件套	4
60026	绿龙套·刺客			13=5000		12=250|22=250		11=250|21=250	60	660600|660601|660602|660603|660604|660605|660606	装备	7件套	4
60027	绿龙套·舞娘			13=5000		12=250|22=250		11=250|21=250	60	760600|760601|760602|760603|760604|760605|760606	装备	7件套	4
70011	巨人套·战士			13=3000		12=150|22=150		11=200|21=200	61	170500|170501|170502|170503|170504|170505|170506	装备	7件套	3
70012	巨人套·弓箭手			13=3000		12=150|22=150		11=200|21=200	61	270500|270501|270502|270503|270504|270505|270506	装备	7件套	3
70013	巨人套·魔法师			13=3000		12=150|22=150		11=200|21=200	61	370500|370501|370502|370503|370504|370505|370506	装备	7件套	3
70014	巨人套·牧师			13=3000		12=150|22=150		11=200|21=200	61	470500|470501|470502|470503|470504|470505|470506	装备	7件套	3
70015	巨人套·学者			13=3000		12=150|22=150		11=200|21=200	61	570500|570501|570502|570503|570504|570505|570506	装备	7件套	3
70016	巨人套·刺客			13=3000		12=150|22=150		11=200|21=200	61	670500|670501|670502|670503|670504|670505|670506	装备	7件套	3
70017	巨人套·舞娘			13=3000		12=150|22=150		11=200|21=200	61	770500|770501|770502|770503|770504|770505|770506	装备	7件套	3
80011	伟大先祖套·战士			13=3000		12=150|22=150		11=200|21=200	71	180500|180501|180502|180503|180504|180505|180506	装备	7件套	3
80012	伟大先祖套·弓箭手			13=3000		12=150|22=150		11=200|21=200	71	280500|280501|280502|280503|280504|280505|280506	装备	7件套	3
80013	伟大先祖套·魔法师			13=3000		12=150|22=150		11=200|21=200	71	380500|380501|380502|380503|380504|380505|380506	装备	7件套	3
80014	伟大先祖套·牧师			13=3000		12=150|22=150		11=200|21=200	71	480500|480501|480502|480503|480504|480505|480506	装备	7件套	3
80015	伟大先祖套·学者			13=3000		12=150|22=150		11=200|21=200	71	580500|580501|580502|580503|580504|580505|580506	装备	7件套	3
80016	伟大先祖套·刺客			13=3000		12=150|22=150		11=200|21=200	71	680500|680501|680502|680503|680504|680505|680506	装备	7件套	3
80017	伟大先祖套·舞娘			13=3000		12=150|22=150		11=200|21=200	71	780500|780501|780502|780503|780504|780505|780506	装备	7件套	3
80021	沙漠龙套·战士			13=5000		12=250|22=250		11=250|21=250	80	180600|180601|180602|180603|180604|180605|180606	装备	7件套	4
80022	沙漠龙套·弓箭手			13=5000		12=250|22=250		11=250|21=250	80	280600|280601|280602|280603|280604|280605|280606	装备	7件套	4
80023	沙漠龙套·魔法师			13=5000		12=250|22=250		11=250|21=250	80	380600|380601|380602|380603|380604|380605|380606	装备	7件套	4
80024	沙漠龙套·牧师			13=5000		12=250|22=250		11=250|21=250	80	480600|480601|480602|480603|480604|480605|480606	装备	7件套	4
80025	沙漠龙套·学者			13=5000		12=250|22=250		11=250|21=250	80	580600|580601|580602|580603|580604|580605|580606	装备	7件套	4
80026	沙漠龙套·刺客			13=5000		12=250|22=250		11=250|21=250	80	680600|680601|680602|680603|680604|680605|680606	装备	7件套	4
80027	沙漠龙套·舞娘			13=5000		12=250|22=250		11=250|21=250	80	780600|780601|780602|780603|780604|780605|780606	装备	7件套	4
90011	K博士套·战士			13=3000		12=150|22=150		11=200|21=200	81	190500|190501|190502|190503|190504|190505|190506	装备	7件套	3
90012	K博士套·弓箭手			13=3000		12=150|22=150		11=200|21=200	81	290500|290501|290502|290503|290504|290505|290506	装备	7件套	3
90013	K博士套·魔法师			13=3000		12=150|22=150		11=200|21=200	81	390500|390501|390502|390503|390504|390505|390506	装备	7件套	3
90014	K博士套·牧师			13=3000		12=150|22=150		11=200|21=200	81	490500|490501|490502|490503|490504|490505|490506	装备	7件套	3
90015	K博士套·学者			13=3000		12=150|22=150		11=200|21=200	81	590500|590501|590502|590503|590504|590505|590506	装备	7件套	3
90016	K博士套·刺客			13=3000		12=150|22=150		11=200|21=200	81	690500|690501|690502|690503|690504|690505|690506	装备	7件套	3
90017	K博士套·舞娘			13=3000		12=150|22=150		11=200|21=200	81	790500|790501|790502|790503|790504|790505|790506	装备	7件套	3
91021	黑龙套·战士			13=5000		12=250|22=250		11=250|21=250	100	191600|191601|191602|191603|191604|191605|191606	装备	7件套	4
91022	黑龙套·弓箭手			13=5000		12=250|22=250		11=250|21=250	100	291600|291601|291602|291603|291604|291605|291606	装备	7件套	4
91023	黑龙套·魔法师			13=5000		12=250|22=250		11=250|21=250	100	391600|391601|391602|391603|391604|391605|391606	装备	7件套	4
91024	黑龙套·牧师			13=5000		12=250|22=250		11=250|21=250	100	491600|491601|491602|491603|491604|491605|491606	装备	7件套	4
91025	黑龙套·学者			13=5000		12=250|22=250		11=250|21=250	100	591600|591601|591602|591603|591604|591605|591606	装备	7件套	4
91026	黑龙套·刺客			13=5000		12=250|22=250		11=250|21=250	100	691600|691601|691602|691603|691604|691605|691606	装备	7件套	4
91027	黑龙套·舞娘			13=5000		12=250|22=250		11=250|21=250	100	791600|791601|791602|791603|791604|791605|791606	装备	7件套	4
91011	守护者套·战士			13=3000		12=150|22=150		11=200|21=200	81	191500|191501|191502|191503|191504|191505|191506	装备	7件套	3
91012	守护者套·弓箭手			13=3000		12=150|22=150		11=200|21=200	81	291500|291501|291502|291503|291504|291505|291506	装备	7件套	3
91013	守护者套·魔法师			13=3000		12=150|22=150		11=200|21=200	81	391500|391501|391502|391503|391504|391505|391506	装备	7件套	3
91014	守护者套·牧师			13=3000		12=150|22=150		11=200|21=200	81	491500|491501|491502|491503|491504|491505|491506	装备	7件套	3
91015	守护者套·学者			13=3000		12=150|22=150		11=200|21=200	81	591500|591501|591502|591503|591504|591505|591506	装备	7件套	3
91016	守护者套·刺客			13=3000		12=150|22=150		11=200|21=200	81	691500|691501|691502|691503|691504|691505|691506	装备	7件套	3
91017	守护者套·舞娘			13=3000		12=150|22=150		11=200|21=200	81	791500|791501|791502|791503|791504|791505|791506	装备	7件套	3
