Level	DragonCoin	DiamondCost
56	100	100|100|100|100|100|100|100|100|100|100
57	100	100|100|100|100|100|100|100|100|100|100
58	100	100|100|100|100|100|100|100|100|100|100
59	100	100|100|100|100|100|100|100|100|100|100
60	100	100|100|100|100|100|100|100|100|100|100
61	100	100|100|100|100|100|100|100|100|100|100
62	100	100|100|100|100|100|100|100|100|100|100
63	100	100|100|100|100|100|100|100|100|100|100
64	100	100|100|100|100|100|100|100|100|100|100
65	100	100|100|100|100|100|100|100|100|100|100
66	100	100|100|100|100|100|100|100|100|100|100
67	100	100|100|100|100|100|100|100|100|100|100
68	100	100|100|100|100|100|100|100|100|100|100
69	100	100|100|100|100|100|100|100|100|100|100
70	100	100|100|100|100|100|100|100|100|100|100
71	100	100|100|100|100|100|100|100|100|100|100
72	100	100|100|100|100|100|100|100|100|100|100
73	100	100|100|100|100|100|100|100|100|100|100
74	100	100|100|100|100|100|100|100|100|100|100
75	100	100|100|100|100|100|100|100|100|100|100
76	100	100|100|100|100|100|100|100|100|100|100
77	100	100|100|100|100|100|100|100|100|100|100
78	100	100|100|100|100|100|100|100|100|100|100
79	100	100|100|100|100|100|100|100|100|100|100
80	100	100|100|100|100|100|100|100|100|100|100
81	100	100|100|100|100|100|100|100|100|100|100
82	100	100|100|100|100|100|100|100|100|100|100
83	100	100|100|100|100|100|100|100|100|100|100
84	100	100|100|100|100|100|100|100|100|100|100
85	100	100|100|100|100|100|100|100|100|100|100
86	100	100|100|100|100|100|100|100|100|100|100
87	100	100|100|100|100|100|100|100|100|100|100
88	100	100|100|100|100|100|100|100|100|100|100
89	100	100|100|100|100|100|100|100|100|100|100
90	100	100|100|100|100|100|100|100|100|100|100
91	100	100|100|100|100|100|100|100|100|100|100
92	100	100|100|100|100|100|100|100|100|100|100
93	100	100|100|100|100|100|100|100|100|100|100
94	100	100|100|100|100|100|100|100|100|100|100
95	100	100|100|100|100|100|100|100|100|100|100
96	100	100|100|100|100|100|100|100|100|100|100
97	100	100|100|100|100|100|100|100|100|100|100
98	100	100|100|100|100|100|100|100|100|100|100
99	100	100|100|100|100|100|100|100|100|100|100
100	100	100|100|100|100|100|100|100|100|100|100
101	100	100|100|100|100|100|100|100|100|100|100
102	100	100|100|100|100|100|100|100|100|100|100
103	100	100|100|100|100|100|100|100|100|100|100
104	100	100|100|100|100|100|100|100|100|100|100
105	100	100|100|100|100|100|100|100|100|100|100
106	100	100|100|100|100|100|100|100|100|100|100
107	100	100|100|100|100|100|100|100|100|100|100
108	100	100|100|100|100|100|100|100|100|100|100
109	100	100|100|100|100|100|100|100|100|100|100
110	100	100|100|100|100|100|100|100|100|100|100
111	100	100|100|100|100|100|100|100|100|100|100
112	100	100|100|100|100|100|100|100|100|100|100
113	100	100|100|100|100|100|100|100|100|100|100
114	100	100|100|100|100|100|100|100|100|100|100
115	100	100|100|100|100|100|100|100|100|100|100
116	100	100|100|100|100|100|100|100|100|100|100
117	100	100|100|100|100|100|100|100|100|100|100
118	100	100|100|100|100|100|100|100|100|100|100
119	100	100|100|100|100|100|100|100|100|100|100
120	100	100|100|100|100|100|100|100|100|100|100
121	100	100|100|100|100|100|100|100|100|100|100
122	100	100|100|100|100|100|100|100|100|100|100
123	100	100|100|100|100|100|100|100|100|100|100
124	100	100|100|100|100|100|100|100|100|100|100
125	100	100|100|100|100|100|100|100|100|100|100
126	100	100|100|100|100|100|100|100|100|100|100
127	100	100|100|100|100|100|100|100|100|100|100
128	100	100|100|100|100|100|100|100|100|100|100
129	100	100|100|100|100|100|100|100|100|100|100
130	100	100|100|100|100|100|100|100|100|100|100
131	100	100|100|100|100|100|100|100|100|100|100
132	100	100|100|100|100|100|100|100|100|100|100
133	100	100|100|100|100|100|100|100|100|100|100
134	100	100|100|100|100|100|100|100|100|100|100
135	100	100|100|100|100|100|100|100|100|100|100
136	100	100|100|100|100|100|100|100|100|100|100
137	100	100|100|100|100|100|100|100|100|100|100
138	100	100|100|100|100|100|100|100|100|100|100
139	100	100|100|100|100|100|100|100|100|100|100
140	100	100|100|100|100|100|100|100|100|100|100
141	100	100|100|100|100|100|100|100|100|100|100
142	100	100|100|100|100|100|100|100|100|100|100
143	100	100|100|100|100|100|100|100|100|100|100
144	100	100|100|100|100|100|100|100|100|100|100
145	100	100|100|100|100|100|100|100|100|100|100
146	100	100|100|100|100|100|100|100|100|100|100
147	100	100|100|100|100|100|100|100|100|100|100
148	100	100|100|100|100|100|100|100|100|100|100
149	100	100|100|100|100|100|100|100|100|100|100
150	100	100|100|100|100|100|100|100|100|100|100
151	100	100|100|100|100|100|100|100|100|100|100
152	100	100|100|100|100|100|100|100|100|100|100
153	100	100|100|100|100|100|100|100|100|100|100
154	100	100|100|100|100|100|100|100|100|100|100
155	100	100|100|100|100|100|100|100|100|100|100
156	100	100|100|100|100|100|100|100|100|100|100
157	100	100|100|100|100|100|100|100|100|100|100
158	100	100|100|100|100|100|100|100|100|100|100
159	100	100|100|100|100|100|100|100|100|100|100
160	100	100|100|100|100|100|100|100|100|100|100
161	100	100|100|100|100|100|100|100|100|100|100
162	100	100|100|100|100|100|100|100|100|100|100
163	100	100|100|100|100|100|100|100|100|100|100
164	100	100|100|100|100|100|100|100|100|100|100
165	100	100|100|100|100|100|100|100|100|100|100
166	100	100|100|100|100|100|100|100|100|100|100
167	100	100|100|100|100|100|100|100|100|100|100
168	100	100|100|100|100|100|100|100|100|100|100
169	100	100|100|100|100|100|100|100|100|100|100
170	100	100|100|100|100|100|100|100|100|100|100
171	100	100|100|100|100|100|100|100|100|100|100
172	100	100|100|100|100|100|100|100|100|100|100
173	100	100|100|100|100|100|100|100|100|100|100
174	100	100|100|100|100|100|100|100|100|100|100
175	100	100|100|100|100|100|100|100|100|100|100
176	100	100|100|100|100|100|100|100|100|100|100
177	100	100|100|100|100|100|100|100|100|100|100
178	100	100|100|100|100|100|100|100|100|100|100
179	100	100|100|100|100|100|100|100|100|100|100
180	100	100|100|100|100|100|100|100|100|100|100
181	100	100|100|100|100|100|100|100|100|100|100
182	100	100|100|100|100|100|100|100|100|100|100
183	100	100|100|100|100|100|100|100|100|100|100
184	100	100|100|100|100|100|100|100|100|100|100
185	100	100|100|100|100|100|100|100|100|100|100
186	100	100|100|100|100|100|100|100|100|100|100
187	100	100|100|100|100|100|100|100|100|100|100
188	100	100|100|100|100|100|100|100|100|100|100
189	100	100|100|100|100|100|100|100|100|100|100
190	100	100|100|100|100|100|100|100|100|100|100
191	100	100|100|100|100|100|100|100|100|100|100
192	100	100|100|100|100|100|100|100|100|100|100
193	100	100|100|100|100|100|100|100|100|100|100
194	100	100|100|100|100|100|100|100|100|100|100
195	100	100|100|100|100|100|100|100|100|100|100
196	100	100|100|100|100|100|100|100|100|100|100
197	100	100|100|100|100|100|100|100|100|100|100
198	100	100|100|100|100|100|100|100|100|100|100
199	100	100|100|100|100|100|100|100|100|100|100
200	100	100|100|100|100|100|100|100|100|100|100
