DropDescription	DropID	DropProb	DropLevel	ItemID	ItemName	ItemCount	ItemBind	price				
金币普通10连抽	11	1		3221	精灵B21	1						金币普通10连抽
金币普通10连抽	11	20		600	精灵海盗饭团	1						金币普通10连抽
金币普通10连抽	11	5		601	精灵捣蛋罐头	1						金币普通10连抽
金币保底10连抽	12	10		3301	精灵A1	1						金币保底10连抽
金币保底10连抽	12	10		3302	精灵A2	1						金币保底10连抽
金币保底10连抽	12	10		3303	精灵A3	1						金币保底10连抽
金币保底10连抽	12	10		3304	精灵A4	1						金币保底10连抽
金币保底10连抽	12	10		3305	精灵A5	1						金币保底10连抽
金币保底10连抽	12	10		3306	精灵A6	1						金币保底10连抽
金币保底10连抽	12	10		3307	精灵A7	1						金币保底10连抽
金币保底10连抽	12	10		3308	精灵A8	1						金币保底10连抽
金币保底10连抽	12	10		3309	精灵A9	1						金币保底10连抽
钻石普通10连抽	13	25		3301	精灵A1	1						钻石普通10连抽
钻石普通10连抽	13	25		3302	精灵A2	1						钻石普通10连抽
钻石普通10连抽	13	25		3303	精灵A3	1						钻石普通10连抽
钻石普通10连抽	13	25		3304	精灵A4	1						钻石普通10连抽
钻石普通10连抽	13	25		3305	精灵A5	1						钻石普通10连抽
钻石普通10连抽	13	25		3306	精灵A6	1						钻石普通10连抽
钻石普通10连抽	13	25		3307	精灵A7	1						钻石普通10连抽
钻石普通10连抽	13	25		3308	精灵A8	1						钻石普通10连抽
钻石普通10连抽	13	25		3309	精灵A9	1						钻石普通10连抽
钻石普通10连抽	13	100		602	精灵经验	1						钻石普通10连抽
钻石普通10连抽	13	100		603	精灵升星药水	1						钻石普通10连抽
钻石普通10连抽	13	50		603	精灵升星药水	2						钻石普通10连抽
钻石普通10连抽	13	25		603	精灵升星药水	3						钻石普通10连抽
钻石普通10连抽	13	100		604	精灵觉醒药水	2						钻石普通10连抽
钻石普通10连抽	13	100		604	精灵觉醒药水	4						钻石普通10连抽
钻石普通10连抽	13	1		3401	精灵S1	1						钻石普通10连抽
钻石普通10连抽	13	1		3402	精灵S1	1						钻石普通10连抽
钻石普通10连抽	13	1		3403	精灵S1	1						钻石普通10连抽
钻石普通10连抽	13	1		3404	精灵S2	1						钻石普通10连抽
钻石普通10连抽	13	1		3406	精灵S3	1						钻石普通10连抽
钻石普通10连抽	13	1		3407	精灵S7	1						钻石普通10连抽
钻石普通10连抽	13	1		3408	小喵仙	1						钻石普通10连抽
钻石普通10连抽	13	1		3410	玫瑰公主	1						钻石普通10连抽
钻石普通10连抽	13	1		3414	天喔桃子精灵	1						钻石普通10连抽
钻石普通10连抽	13	1		3415	天喔乐小芒	1						钻石普通10连抽
钻石普通10连抽	13	1		3413	天喔桃子精灵	1						钻石普通10连抽
钻石保底10连抽	14	87		3401	精灵S1	1						钻石保底10连抽
钻石保底10连抽	14	87		3402	精灵S2	1						钻石保底10连抽
钻石保底10连抽	14	87		3403	精灵S1	1						钻石保底10连抽
钻石保底10连抽	14	87		3404	精灵S2	1						钻石保底10连抽
钻石保底10连抽	14	87		3406	精灵S3	1						钻石保底10连抽
钻石保底10连抽	14	87		3407	精灵S7	1						钻石保底10连抽
钻石保底10连抽	14	87		3408	小喵仙	1						钻石保底10连抽
钻石保底10连抽	14	87		3410	玫瑰公主	1						钻石保底10连抽
钻石保底10连抽	14	87		3413	天喔桃子精灵	1						钻石保底10连抽
钻石保底10连抽	14	87		3414	天喔桃子精灵	1						钻石保底10连抽
钻石保底10连抽	14	87		3415	天喔乐小芒	1						钻石保底10连抽
钻石保底10连抽	14	5		3501	幸运的蓝鸟	1						钻石保底10连抽
钻石保底10连抽	14	5		3502	雅致的天鹅	1						钻石保底10连抽
钻石保底10连抽	14	20		3503	极限贝斯柯德	1						钻石保底10连抽
钻石保底10连抽	14	5		3504	极限阿尔杰塔	1						钻石保底10连抽
钻石保底10连抽	14	5		3505	极限杰兰特	1						钻石保底10连抽
首次钻石单抽	15	10		3303	精灵A3	1						首次钻石单抽
首次钻石单抽	15	10		3304	精灵A4	1						首次钻石单抽
首次钻石单抽	15	10		3305	精灵A5	1						首次钻石单抽
首次钻石单抽	15	10		3308	精灵A8	1						首次钻石单抽
首次钻石单抽	15	10		3309	精灵A9	1						首次钻石单抽
首次金币单抽	16	10		600		1						首次金币单抽
战斗勋章礼包	17	1		301		1						战斗勋章礼包
宫廷勋章礼包	18	1		302		1						宫廷勋章礼包
洛天依礼包	19	1		90		99	1					洛天依礼包
洛天依礼包	19	1		93		5	1					洛天依礼包
1元礼包	20	1		138		1	1					1元礼包
1元礼包	20	1		93		3	1					1元礼包
1元礼包	20	1		363	32级防御洗炼石	1	1					1元礼包
1元礼包	20	1		373	32级攻击洗炼石	1	1					1元礼包
1元礼包	20	1		22		200	1					1元礼包
1元礼包	20	1		611		1	1					1元礼包
3元礼包	21	1		135		1	1					3元礼包
3元礼包	21	1		93		6	1					3元礼包
3元礼包	21	1		363	32级防御洗炼石	3	1					3元礼包
3元礼包	21	1		373	32级攻击洗炼石	3	1					3元礼包
3元礼包	21	1		22		400	1					3元礼包
3元礼包	21	1		611		1	1					3元礼包
6元礼包	22	1		136		1	1					6元礼包
6元礼包	22	1		93		9	1					6元礼包
6元礼包	22	1		363	32级防御洗炼石	6	1					6元礼包
6元礼包	22	1		373	32级攻击洗炼石	6	1					6元礼包
6元礼包	22	1		22		600	1					6元礼包
6元礼包	22	1		611		1	1					6元礼包
星座翅膀礼包	23	1		11067		1						星座翅膀礼包
星座尾巴礼包	24	1		11068		1						星座尾巴礼包
星座纹身礼包	25	1		11069		1						星座纹身礼包
	26	1		1		10000	1				100	战友活跃度礼包
	27	1		11		10	1				100	战友活跃度礼包
	28	1		600		2	1				200	战友活跃度礼包
	29	1		11		15	1				200	战友活跃度礼包
	30	1		601		1	1				300	战友活跃度礼包
	31	1		11		20	1				300	战友活跃度礼包
	32	1		93		5	1				400	战友活跃度礼包
	33	1		11		25	1				400	战友活跃度礼包
	34	1		7		50	1				500	战友活跃度礼包
	35	1		11		30	1				500	战友活跃度礼包
锻造礼包	36	1		76		1	1					锻造礼包
锻造礼包	36	1		78		2	1					锻造礼包
锻造礼包	36	1		82		3	1					锻造礼包
锻造礼包	36	1		239		1	1					锻造礼包
情人节限定大礼包	37	1		10320		1	1					情人节限定大礼包
情人节限定大礼包	37	1		10321		1	1					情人节限定大礼包
情人节限定大礼包	37	1		10322		1	1					情人节限定大礼包
情人节限定大礼包	37	1		10323		1	1					情人节限定大礼包
情人节限定大礼包	37	1		10324		1	1					情人节限定大礼包
情人节限定大礼包	37	1		10325		1	1					情人节限定大礼包
情人节限定大礼包	37	1		10326		1	1					情人节限定大礼包
情人节限定大礼包	37	1		92		99	1					情人节限定大礼包
情人节限定大礼包	37	1		612		50	1					情人节限定大礼包
情人节限定大礼包	37	1		3520		3	1					情人节限定大礼包
情人节限定套装	38	1		10320		1	1					情人节限定套装
情人节限定套装	38	1		10321		1	1					情人节限定套装
情人节限定套装	38	1		10322		1	1					情人节限定套装
情人节限定套装	38	1		10323		1	1					情人节限定套装
情人节限定套装	38	1		10324		1	1					情人节限定套装
情人节限定套装	38	1		10325		1	1					情人节限定套装
情人节限定套装	38	1		10326		1	1					情人节限定套装
情人节限定套装	38	1		3520		3	1					情人节限定套装
	39	996		59		1	1					
	39	1		11355		1	1					
	39	3		11356		1	1					
海鲜宴大礼包	40	1		5809		1	1					海鲜宴大礼包
海鲜宴大礼包	40	1		5814		1	1					海鲜宴大礼包
海鲜宴大礼包	40	1		5802		1	1					海鲜宴大礼包
海鲜宴大礼包	40	1		5812		1	1					海鲜宴大礼包
	41	1		21		20	1					英雄战场单场奖励
	42	1		21		400	1					英雄战场每日奖励
	43	1		7		50	1					英雄战场每日奖励
	44	1		67		2	1					英雄战场每日奖励
	45	1		21		1000	1					英雄战场每周奖励
	46	1		7		100	1					英雄战场每周奖励
	47	1		67		4	1					英雄战场每周奖励
	48	1		68		2	1					英雄战场每周奖励
竞技场宝箱	49	1		600		1						竞技场宝箱
竞技场宝箱	49	1		601		1						竞技场宝箱
竞技场宝箱	49	1		7		5						竞技场宝箱
竞技场宝箱	49	1		7		10						竞技场宝箱
竞技场宝箱	49	1		93		1						竞技场宝箱
龙玉袋子	50	1		1000101	1级巨熊龙玉	1	0					龙玉袋子
龙玉袋子	50	1		1000201	1级疾风龙玉	1	0					龙玉袋子
龙玉袋子	50	1		1000301	1级智慧龙玉	1	0					龙玉袋子
龙玉袋子	50	1		1000401	1级生命龙玉	1	0					龙玉袋子
龙玉袋子	50	1		1001101	1级破坏龙玉	1	0					龙玉袋子
龙玉袋子	50	1		1002101	1级魔力龙玉	1	0					龙玉袋子
龙玉袋子	50	1		1003101	1级致命龙玉	1	0					龙玉袋子
1阶金色宝箱	51	1		163	1阶橙色图鉴袋子	1						1阶金色宝箱
1阶银色宝箱	52	1		162	1阶蓝色图鉴袋子	2						1阶银色宝箱
1阶铜色宝箱	53	1		161	1阶绿色图鉴袋子	4						1阶铜色宝箱
1阶钻石宝箱	54	1		161	1阶绿色图鉴袋子	4						图鉴
1阶钻石宝箱	54	1		162	1阶蓝色图鉴袋子	3						图鉴
1阶钻石宝箱	54	1		163	1阶橙色图鉴袋子	2						图鉴
1阶钻石宝箱	54	1		164	1阶紫色图鉴袋子	1						图鉴
2阶金色宝箱	55	1		167	2阶橙色图鉴袋子	1						图鉴
2阶银色宝箱	56	1		166	2阶蓝色图鉴袋子	2						图鉴
2阶铜色宝箱	57	1		165	2阶绿色图鉴袋子	4						图鉴
2阶钻石宝箱	58	1		165	2阶绿色图鉴袋子	4						图鉴
2阶钻石宝箱	58	1		166	2阶蓝色图鉴袋子	3						图鉴
2阶钻石宝箱	58	1		167	2阶橙色图鉴袋子	2						图鉴
2阶钻石宝箱	58	1		168	2阶紫色图鉴袋子	1						图鉴
3阶金色宝箱	59	1		171	2阶橙色图鉴袋子	1						图鉴
3阶银色宝箱	60	1		170	2阶蓝色图鉴袋子	2						图鉴
3阶铜色宝箱	61	1		169	2阶绿色图鉴袋子	4						图鉴
3阶钻石宝箱	62	1		169	2阶绿色图鉴袋子	4						图鉴
3阶钻石宝箱	62	1		170	2阶蓝色图鉴袋子	3						图鉴
3阶钻石宝箱	62	1		171	2阶橙色图鉴袋子	2						图鉴
3阶钻石宝箱	62	1		172	2阶紫色图鉴袋子	1						图鉴
战斗勋章礼包	63	1		303		1						战斗勋章礼包
每日任务大礼包	64	1		5020		1	1					每日任务大礼包
每日任务大礼包	64	1		5013		1	1					每日任务大礼包
每日任务大礼包	64	1		5011		1	1					每日任务大礼包
每日任务大礼包	64	1		5808		1	1					每日任务大礼包
每日任务大礼包	64	1		5811		1	1					每日任务大礼包
每日任务大礼包	64	1		5820		1	1					每日任务大礼包
每日任务大礼包	64	1		5828		1	1					每日任务大礼包
每日任务大礼包	64	1		5821		1	1					每日任务大礼包
每日任务大礼包	64	1		5834		1	1					每日任务大礼包
公会资源战	65	1		1		50000			第1名		会长	
公会资源战	66	1		22		500			第1名		会长	
公会资源战	67	1		1		50000			第1名		官员	
公会资源战	68	1		22		500			第1名		官员	
公会资源战	69	1		1		50000			第1名		成员	
公会资源战	70	1		22		500			第1名		成员	
公会资源战	71	1		1		40000			第2名		会长	
公会资源战	72	1		22		400			第2名		会长	
公会资源战	73	1		1		40000			第2名		官员	
公会资源战	74	1		22		400			第2名		官员	
公会资源战	75	1		1		40000			第2名		成员	
公会资源战	76	1		22		400			第2名		成员	
公会资源战	77	1		1		30000			第3名		会长	
公会资源战	78	1		22		300			第3名		会长	
公会资源战	79	1		1		30000			第3名		官员	
公会资源战	80	1		22		300			第3名		官员	
公会资源战	81	1		1		30000			第3名		成员	
公会资源战	82	1		22		300			第3名		成员	
公会资源战	90	1		22		100			绿		单场奖励	
公会资源战	91	1		1		1000			绿		单场奖励	
公会资源战	92	1		22		150			蓝		单场奖励	
公会资源战	93	1		1		2000			蓝		单场奖励	
公会资源战	94	1		22		200			橙色		单场奖励	
公会资源战	95	1		1		3000			橙色		单场奖励	
公会资源战	96	1		22		250			紫色		单场奖励	
公会资源战	97	1		1		4000			紫色		单场奖励	
公会资源战	98	1		22		300			红色		单场奖励	
公会资源战	99	1		1		5000			红色		单场奖励	
龙币赏金劵	100	1	1=32	451	地狱犬巢穴赏金劵	1						
龙币赏金劵	100	1	33=42	452	狮蝎巢穴赏金劵	1						
龙币赏金劵	100	1	43=52	453	天启巢穴赏金劵	1						
龙币赏金劵	100	1	53=62	454	大主教巢穴赏金劵	1						
龙币赏金劵	100	1	63=72	981	巨人巢穴赏金券	1						
龙币赏金劵	100	1	73=82	982	台风金巢穴赏金券	1						
龙币赏金劵	100	1	83=92	984	K博士巢穴赏金劵	1						
龙币赏金劵	100	1	93=102	986	守护者巢穴赏金劵	1						
	101	1		5209	水稻种子	1						
	101	1		5210	小麦种子	1						
	101	1		5212	荞麦种子	1						
	101	1		5201	樱桃种子	1						
	101	1		5208	辣椒种子	1						
	101	1		5204	栗苞种子	1						
	101	1		5211	芝麻种子	1						
	101	1		5213	萝卜种子	1						
	101	1		5218	山菇种子	1						
	101	1		5219	鹿角蘑菇种子	1						
	101	1		5221	黑网蘑菇种子	1						
	101	1		5222	草莓种子	1						
	102	1		5209	水稻种子	1						
	102	1		5210	小麦种子	1						
	102	1		5212	荞麦种子	1						
	102	1		5201	樱桃种子	1						
	102	1		5208	辣椒种子	1						
	102	1		5204	栗苞种子	1						
	102	1		5211	芝麻种子	1						
	102	1		5213	萝卜种子	1						
	102	1		5218	山菇种子	1						
	102	1		5219	鹿角蘑菇种子	1						
	102	1		5221	黑网蘑菇种子	1						
	102	1		5222	草莓种子	1						
	102	1		5226	蓝色妖姬种子	1						
	102	1		5225	白玫瑰种子	1						
	102	1		5220	红色火焰蘑菇种子	1						
	102	1		5205	蜜桃种子	1						
竞技巢穴掉落	103	1		410		1						
竞技巢穴掉落	104	1		411		1						
竞技巢穴掉落	105	1		412		1						
英雄战场10胜	106	1		21		200						
英雄战场10胜	107	1		7		100						
英雄战场10胜	108	1		67		2						
英雄战场10胜	109	1		68		1						
英雄战场40胜	110	1		21		500						
英雄战场40胜	111	1		67		2						
英雄战场40胜	112	1		68		1						
英雄战场70胜	113	1		21		500						
英雄战场70胜	114	1		67		2						
英雄战场70胜	115	1		68		1						
深渊好人卡	116	1		0		0	1					
深渊好人卡	116	1		490		1	1					
深渊汪汪卡	117	9		0		0	1					
深渊汪汪卡	117	1		491		1	1					
巢穴好人卡	118	1		490		1	1					
巢穴汪汪卡	119	8		0		0	1					
巢穴汪汪卡	119	2		491		1	1					
天降情礼	120	1		611		1	1					
天降情礼	120	1		604		1	1					
天降情礼	120	1		93		5	1					
白色情人	121	1		611		1	1					
白色情人	121	1		603		1	1					
白色情人	121	1		93		5	1					
联赛宝箱	122	3		612		1	1					
联赛宝箱	122	2		604		2	1					
联赛宝箱	122	1		603		1	1					
龙战士时装礼包（15天）	123	1		10310		1	1					
龙战士时装礼包（15天）	123	1		10311		1	1					
龙战士时装礼包（15天）	123	1		10312		1	1					
龙战士时装礼包（15天）	123	1		10313		1	1					
龙战士时装礼包（15天）	123	1		10314		1	1					
龙战士时装礼包（15天）	123	1		10315		1	1					
龙战士时装礼包（15天）	123	1		10316		1	1					
星座三件套礼包（15天）	124	1		11147		1	1					
星座三件套礼包（15天）	124	1		11148		1	1					
星座三件套礼包（15天）	124	1		11149		1	1					
	125	1		10330		1	1					
	125	1		10331		1	1					
	125	1		10332		1	1					
	125	1		10333		1	1					
	125	1		10334		1	1					
	125	1		10335		1	1					
	125	1		10336		1	1					
祝福翅膀（永久）	126	1		11193		1	1					
祝福尾巴（永久）	127	1		11194		1	1					
祝福纹身（永久）	128	1		11195		1	1					
皇帝的新装礼包（1天）	129	1		10410		1	1					
皇帝的新装礼包（1天）	129	1		10411		1	1					
皇帝的新装礼包（1天）	129	1		10412		1	1					
皇帝的新装礼包（1天）	129	1		10413		1	1					
皇帝的新装礼包（1天）	129	1		10414		1	1					
皇帝的新装礼包（3天）	130	1		10420		1	1					
皇帝的新装礼包（3天）	130	1		10421		1	1					
皇帝的新装礼包（3天）	130	1		10422		1	1					
皇帝的新装礼包（3天）	130	1		10423		1	1					
皇帝的新装礼包（3天）	130	1		10424		1	1					
皇帝的新装礼包（7天）	131	1		10430		1	1					
皇帝的新装礼包（7天）	131	1		10431		1	1					
皇帝的新装礼包（7天）	131	1		10432		1	1					
皇帝的新装礼包（7天）	131	1		10433		1	1					
皇帝的新装礼包（7天）	131	1		10434		1	1					
动物园套	132	1		10510		1	1					
动物园套	132	1		10511		1	1					
动物园套	132	1		10512		1	1					
动物园套	132	1		10513		1	1					
动物园套	132	1		10514		1	1					
动物园套	132	1		10515		1	1					
动物园套	132	1		10516		1	1					
动物园套	132	1		3520		3	1					
动物园套	133	1		10520		1	1					
动物园套	133	1		10521		1	1					
动物园套	133	1		10522		1	1					
动物园套	133	1		10523		1	1					
动物园套	133	1		10524		1	1					
动物园套	133	1		10525		1	1					
动物园套	133	1		10526		1	1					
动物园套	133	1		3520		3	1					
	134	1		10330		1	1					
	134	1		10331		1	1					
	134	1		10332		1	1					
	134	1		10333		1	1					
	134	1		10334		1	1					
	134	1		10335		1	1					
	134	1		10336		1	1					
	135	1		22		20						公会挑战深渊贡献
	135	1		22		30						公会挑战深渊贡献
	135	1		22		40						公会挑战深渊贡献
	135	1		7		5						公会挑战深渊贡献
	136	1		22		20						公会挑战巢穴贡献
	136	1		22		30						公会挑战巢穴贡献
	136	1		22		40						公会挑战巢穴贡献
	136	1		7		10						公会挑战巢穴贡献
	137	1		22		20						公会挑战龙穴贡献
	137	1		22		30						公会挑战龙穴贡献
	137	1		22		40						公会挑战龙穴贡献
	137	1		7		10						公会挑战龙穴贡献
	138	1		4130030		1					剑圣	A级技能金属板袋子
	139	1		4130056		1					箭神	A级技能金属板袋子
	140	1		4130118		1					元素	A级技能金属板袋子
	141	1		4130080		1					贤者	A级技能金属板袋子
	142	1		4130090		1					战神	A级技能金属板袋子
	143	1		4130106		1					游侠	A级技能金属板袋子
	144	1		4130063		1					魔导	A级技能金属板袋子
	145	1		4130131		1					祭司	A级技能金属板袋子
BossRush	146	30		1321001	24级C级巨熊的金属板	1			1	1		BossRush
BossRush	146	30		1321002	24级C级疾风的金属板	1			1	1		BossRush
BossRush	146	30		1321003	24级C级智慧的?鹗舭?	1			1	1		BossRush
BossRush	146	30		1321004	24级C级健康的金属板	1			1	1		BossRush
BossRush	146	30		1321011	24级C级破坏的金属板	1			1	1		BossRush
BossRush	146	30		1321012	24级C级铁壁的金属板	1			1	1		BossRush
BossRush	146	30		1321013	24级C级生命的金属板	1			1	1		BossRush
BossRush	146	30		1321021	24级C级魔力的金属板	1			1	1		BossRush
BossRush	146	30		1321022	24级C级帷幕的金属板	1			1	1		BossRush
BossRush	146	30		1321031	24级C级致命的金属板	1			1	1		BossRush
BossRush	146	30		1321032	24级C级幸运的金属板	1			1	1		BossRush
BossRush	147	30		1321001	24级C级巨熊的金属板	1			1	2		BossRush
BossRush	147	30		1321002	24级C级疾风的金属板	1			1	2		BossRush
BossRush	147	30		1321003	24级C级智慧的金属板	1			1	2		BossRush
BossRush	147	30		1321004	24级C级健康的金属板	1			1	2		BossRush
BossRush	147	30		1321011	24级C级破坏的金属板	1			1	2		BossRush
BossRush	147	30		1321012	24级C级铁壁的金属板	1			1	2		BossRush
BossRush	147	30		1321013	24级C级生命的金属板	1			1	2		BossRush
BossRush	147	30		1321021	24级C级魔力的金属板	1			1	2		BossRush
BossRush	147	30		1321022	24级C级帷幕的金属板	1			1	2		BossRush
BossRush	147	30		1321031	24级C级致命的金属板	1			1	2		BossRush
BossRush	147	30		1321032	24级C级幸运的金属板	1			1	2		BossRush
BossRush	147	30		1322001	24级B级巨熊的金属板	1			1	2		BossRush
BossRush	147	30		1322002	24级B级疾风的金属板	1			1	2		BossRush
BossRush	147	30		1322003	24级B级智慧的金属板	1			1	2		BossRush
BossRush	147	30		1322004	24级B级健康的金属板	1			1	2		BossRush
BossRush	147	30		1322011	24级B级破坏的金属板	1			1	2		BossRush
BossRush	147	30		1322012	24级B级铁壁的金属板	1			1	2		BossRush
BossRush	147	30		1322013	24级B级生命的金属板	1			1	2		BossRush
BossRush	147	30		1322021	24级B级魔力的金属板	1			1	2		BossRush
BossRush	147	30		1322022	24级B级帷幕的金属板	1			1	2		BossRush
BossRush	147	30		1322031	24级B级致命的金属板	1			1	2		BossRush
BossRush	147	30		1322032	24级B级幸运的金属板	1			1	2		BossRush
BossRush	148	7		1322001	24级B级巨熊的金属板	1			1	3		BossRush
BossRush	148	7		1322002	24级B级疾风的金属板	1			1	3		BossRush
BossRush	148	7		1322003	24级B级智慧的金属板	1			1	3		BossRush
BossRush	148	7		1322004	24级B级健康的金属板	1			1	3		BossRush
BossRush	148	7		1322011	24级B级破坏的金属板	1			1	3		BossRush
BossRush	148	7		1322012	24级B级铁壁的金属板	1			1	3		BossRush
BossRush	148	7		1322013	24级B级生命的金属板	1			1	3		BossRush
BossRush	148	7		1322021	24级B级魔力的金属板	1			1	3		BossRush
BossRush	148	7		1322022	24级B级帷幕的金属板	1			1	3		BossRush
BossRush	148	7		1322031	24级B级致命的金属板	1			1	3		BossRush
BossRush	148	7		1322032	24级B级幸运的金属板	1			1	3		BossRush
BossRush	148	2		1323001	24级A级巨熊的金属板	1			1	3		BossRush
BossRush	148	2		1323002	24级A级疾风的金属板	1			1	3		BossRush
BossRush	148	2		1323003	24级A级智慧的金属板	1			1	3		BossRush
BossRush	148	2		1323004	24级A级健康的金属板	1			1	3		BossRush
BossRush	148	2		1323011	24级A级破坏的金属板	1			1	3		BossRush
BossRush	148	2		1323012	24级A级铁壁的金属板	1			1	3		BossRush
BossRush	148	2		1323013	24级A级生命的金属板	1			1	3		BossRush
BossRush	148	2		1323021	24级A级魔力的金属板	1			1	3		BossRush
BossRush	148	2		1323022	24级A级帷幕的金属板	1			1	3		BossRush
BossRush	148	2		1323031	24级A级致命的金属板	1			1	3		BossRush
BossRush	148	2		1323032	24级A级幸运的金属板	1			1	3		BossRush
BossRush	149	1		1401001	35级C级巨熊的金属板	1			2	1		BossRush
BossRush	149	1		1401002	35级C级疾风的金属板	1			2	1		BossRush
BossRush	149	1		1401003	35级C级智慧的金属板	1			2	1		BossRush
BossRush	149	1		1401004	35级C级健康的金属板	1			2	1		BossRush
BossRush	149	1		1401011	35级C级破坏的金属板	1			2	1		BossRush
BossRush	149	1		1401012	35级C级铁壁的金属板	1			2	1		BossRush
BossRush	149	1		1401013	35级C级生命的金属板	1			2	1		BossRush
BossRush	149	1		1401021	35级C级魔力的金属板	1			2	1		BossRush
BossRush	149	1		1401022	35级C级帷幕的金属板	1			2	1		BossRush
BossRush	149	1		1401031	35级C级致命的金属板	1			2	1		BossRush
BossRush	149	1		1401032	35级C级幸运的金属板	1			2	1		BossRush
BossRush	150	1		1401001	35级C级巨熊的金属板	1			2	2		BossRush
BossRush	150	1		1401002	35级C级疾风的金属板	1			2	2		BossRush
BossRush	150	1		1401003	35级C级智慧的金属板	1			2	2		BossRush
BossRush	150	1		1401004	35级C级健康的金属板	1			2	2		BossRush
BossRush	150	1		1401011	35级C级破坏的金属板	1			2	2		BossRush
BossRush	150	1		1401012	35级C级铁壁的金属板	1			2	2		BossRush
BossRush	150	1		1401013	35级C级生命的金属板	1			2	2		BossRush
BossRush	150	1		1401021	35级C级魔力的金属板	1			2	2		BossRush
BossRush	150	1		1401022	35级C级帷幕的金属板	1			2	2		BossRush
BossRush	150	1		1401031	35级C级致命的金属板	1			2	2		BossRush
BossRush	150	1		1401032	35级C级幸运的金属板	1			2	2		BossRush
BossRush	150	1		1402001	35级B级巨熊的金属板	1			2	2		BossRush
BossRush	150	1		1402002	35级B级疾风的金属板	1			2	2		BossRush
BossRush	150	1		1402003	35级B级智慧的金属板	1			2	2		BossRush
BossRush	150	1		1402004	35级B级健康的金属板	1			2	2		BossRush
BossRush	150	1		1402011	35级B级破坏的金属板	1			2	2		BossRush
BossRush	150	1		1402012	35级B级铁壁的金属板	1			2	2		BossRush
BossRush	150	1		1402013	35级B级生命的金属板	1			2	2		BossRush
BossRush	150	1		1402021	35级B级魔力的金属板	1			2	2		BossRush
BossRush	150	1		1402022	35级B级帷幕的金属板	1			2	2		BossRush
BossRush	150	1		1402031	35级B级致命的金属板	1			2	2		BossRush
BossRush	150	1		1402032	35级B级幸运的金属板	1			2	2		BossRush
BossRush	151	7		1402001	35级B级巨熊的金属板	1			2	3		BossRush
BossRush	151	7		1402002	35级B级疾风的金属板	1			2	3		BossRush
BossRush	151	7		1402003	35级B级智慧的金属板	1			2	3		BossRush
BossRush	151	7		1402004	35级B级健康的金属板	1			2	3		BossRush
BossRush	151	7		1402011	35级B级破坏的金属板	1			2	3		BossRush
