ItemID	EffectID
10550279	10550279
10550280	10550280
10550281	10550281
10550282	10550282
10550283	10550283
10550284	10550284
10550285	10550285
10550286	10550286
10550287	10550287
10550288	10550288
10550289	10550289
10550290	10550290
10550291	10550291
10550292	10550292
10550293	10550293
10550294	10550294
10550295	10550295
10550296	10550296
10550297	10550297
10550298	10550298
10550299	10550299
10550300	10550300
10550301	10550301
10550302	10550302
10550303	10550303
10550304	10550304
10550305	10550305
10550306	10550306
10550307	10550307
10550308	10550308
10550309	10550309
10550310	10550310
10550311	10550311
10550312	10550312
10550313	10550313
10550314	10550314
10550315	10550315
10550316	10550316
10550317	10550317
10550318	10550318
10550319	10550319
10550320	10550320
10550321	10550321
10550322	10550322
10550323	10550323
10550324	10550324
10550325	10550325
10550326	10550326
10550327	10550327
10550328	10550328
10550329	10550329
10550330	10550330
10550331	10550331
10550332	10550332
10550333	10550333
10550334	10550334
10550335	10550335
10550336	10550336
10550337	10550337
10550338	10550338
10550339	10550339
10550340	10550340
10550341	10550341
10550342	10550342
10550343	10550343
10550344	10550344
10550345	10550345
10550346	10550346
10550347	10550347
10550348	10550348
10550349	10550349
10550350	10550350
10550351	10550351
10550352	10550352
10550353	10550353
10550354	10550354
10550355	10550355
10550356	10550356
10550357	10550357
10550358	10550358
10550359	10550359
10550360	10550360
10550361	10550361
10550362	10550362
10550363	10550363
10550364	10550364
10550365	10550365
10550366	10550366
10550367	10550367
10550368	10550368
10550369	10550369
10550370	10550370
10550371	10550371
10550372	10550372
10550373	10550373
10550374	10550374
10550375	10550375
10550376	10550376
10550377	10550377
10550378	10550378
10550379	10550379
10550380	10550380
10550381	10550381
10550382	10550382
10550383	10550383
10550384	10550384
10550385	10550385
10550386	10550386
10550387	10550387
10550388	10550388
10550389	10550389
10550390	10550390
10550391	10550391
10550392	10550392
10550393	10550393
10550394	10550394
10550395	10550395
10550396	10550396
10550397	10550397
10550398	10550398
10550399	10550399
10550400	10550400
10550401	10550401
10550402	10550402
10550403	10550403
10550404	10550404
10550405	10550405
10550406	10550406
10550407	10550407
10550408	10550408
10550409	10550409
10550410	10550410
10550411	10550411
10550412	10550412
10550413	10550413
10550414	10550414
10550415	10550415
10550416	10550416
10550417	10550417
10550418	10550418
10550419	10550419
10550420	10550420
10550421	10550421
10550422	10550422
10550423	10550423
10550424	10550424
10550425	10550425
10550426	10550426
10550427	10550427
10550428	10550428
10550429	10550429
10550430	10550430
10550431	10550431
10550432	10550432
10550433	10550433
10550434	10550434
10550435	10550435
10550436	10550436
10550437	10550437
10550438	10550438
10550439	10550439
10550441	10550441
10550442	10550442
10550443	10550443
10550444	10550444
10550445	10550445
10550446	10550446
10550447	10550447
10550448	10550448
10550449	10550449
10550450	10550450
10550451	10550451
10550452	10550452
10550453	10550453
10550454	10550454
10550455	10550455
10550456	10550456
10550457	10550457
10550458	10550458
10550459	10550459
10550460	10550460
10550461	10550461
10550462	10550462
10550463	10550463
10550464	10550464
10550465	10550465
10550466	10550466
10550467	10550467
10550468	10550468
10550469	10550469
10550470	10550470
10550471	10550471
10550472	10550472
10550473	10550473
10550474	10550474
10550475	10550475
10550476	10550476
10550477	10550477
10550478	10550478
10550479	10550479
10550480	10550480
10550481	10550481
10550482	10550482
10550483	10550483
10550484	10550484
10550485	10550485
10550486	10550486
10550487	10550487
10550488	10550488
10550489	10550489
10550490	10550490
10550491	10550491
10550492	10550492
10550493	10550493
10550494	10550494
10550495	10550495
10550496	10550496
10550497	10550497
10550498	10550498
10550499	10550499
10550500	10550500
10550501	10550501
10550502	10550502
10550503	10550503
10550504	10550504
10550505	10550505
10550506	10550506
10550507	10550507
10550508	10550508
10550509	10550509
10550510	10550510
10550511	10550511
10550512	10550512
10550513	10550513
10550514	10550514
10550515	10550515
10550516	10550516
10550517	10550517
10550518	10550518
10550519	10550519
10550520	10550520
10550521	10550521
10550522	10550522
10550523	10550523
10550524	10550524
10550525	10550525
10550526	10550526
10550527	10550527
10550528	10550528
10550529	10550529
10550530	10550530
10550531	10550531
10550532	10550532
10550533	10550533
10550534	10550534
10550535	10550535
10550536	10550536
10550537	10550537
10550538	10550538
10550539	10550539
10550540	10550540
10550541	10550541
10550542	10550542
10550543	10550543
10550544	10550544
10550545	10550545
10550546	10550546
10550547	10550547
10550548	10550548
10550549	10550549
10550550	10550550
10550551	10550551
10550552	10550552
10550553	10550553
10550554	10550554
10550555	10550555
10550556	10550556
10550557	10550557
10550558	10550558
10550559	10550559
10550560	10550560
10550561	10550561
10550562	10550562
10550563	10550563
10550564	10550564
10550565	10550565
10550566	10550566
10550567	10550567
10550568	10550568
10550569	10550569
10550570	10550570
10550571	10550571
10550572	10550572
10550573	10550573
10550574	10550574
10550575	10550575
10550576	10550576
10550577	10550577
10550578	10550578
10550579	10550579
10550580	10550580
10550581	10550581
10550582	10550582
10550583	10550583
10550584	10550584
10550585	10550585
10550586	10550586
10550587	10550587
10550588	10550588
10550589	10550589
10550590	10550590
10550591	10550591
10550592	10550592
10550593	10550593
10550594	10550594
10550595	10550595
10550596	10550596
10550597	10550597
10550598	10550598
10550599	10550599
10550600	10550600
10550601	10550601
10550602	10550602
10550603	10550603
10550604	10550604
10550605	10550605
10550606	10550606
10550607	10550607
10550608	10550608
10550609	10550609
10550610	10550610
10550611	10550611
10550612	10550612
10550613	10550613
10550614	10550614
10550615	10550615
10550616	10550616
10550617	10550617
10550618	10550618
10550619	10550619
10550620	10550620
10550621	10550621
10550622	10550622
10550623	10550623
10550624	10550624
10550625	10550625
10550626	10550626
10550627	10550627
10550628	10550628
10550629	10550629
10550630	10550630
10550631	10550631
10550632	10550632
10550633	10550633
10550634	10550634
10550635	10550635
10550636	10550636
10550637	10550637
10550638	10550638
10550639	10550639
10550640	10550640
10550641	10550641
10550642	10550642
10550643	10550643
10550644	10550644
10550645	10550645
10550646	10550646
10550647	10550647
10550648	10550648
10550649	10550649
10550650	10550650
10550651	10550651
10550652	10550652
10550653	10550653
10550654	10550654
10550655	10550655
10550656	10550656
10550657	10550657
10550658	10550658
10550659	10550659
10550660	10550660
10550661	10550661
10550662	10550662
10550663	10550663
10550664	10550664
10750001	10750001
10750002	10750002
10750003	10750003
10750004	10750004
10750005	10750005
10750006	10750006
10750007	10750007
10750008	10750008
10750009	10750009
10750010	10750010
10750011	10750011
10750012	10750012
10750013	10750013
10750014	10750014
10750015	10750015
10750016	10750016
10750017	10750017
10750018	10750018
10750019	10750019
10750020	10750020
10750021	10750021
10750022	10750022
10750023	10750023
10750024	10750024
10750025	10750025
10750026	10750026
10750027	10750027
10750028	10750028
10750029	10750029
10750030	10750030
10750031	10750031
10750032	10750032
10750033	10750033
10750034	10750034
10750035	10750035
10750036	10750036
10750037	10750037
10750038	10750038
10750039	10750039
10750040	10750040
10750041	10750041
10750042	10750042
10750043	10750043
10750044	10750044
10750045	10750045
10750046	10750046
10750047	10750047
10750048	10750048
10750049	10750049
10750050	10750050
10750051	10750051
10750052	10750052
10750053	10750053
10750054	10750054
10750055	10750055
10750056	10750056
10750057	10750057
10750058	10750058
10750059	10750059
10750060	10750060
10750061	10750061
10750062	10750062
10750063	10750063
10750064	10750064
10750065	10750065
10750066	10750066
10750067	10750067
10750068	10750068
10750069	10750069
10750070	10750070
10750071	10750071
10750072	10750072
10750073	10750073
10750074	10750074
10750075	10750075
10750076	10750076
10750077	10750077
10750078	10750078
10750079	10750079
10750080	10750080
10750081	10750081
10750082	10750082
10750083	10750083
10750084	10750084
10750085	10750085
10750086	10750086
10750087	10750087
10750088	10750088
10750089	10750089
10750090	10750090
10750091	10750091
10750092	10750092
10750093	10750093
10750094	10750094
10750095	10750095
10750096	10750096
10750097	10750097
10750098	10750098
10750099	10750099
10750100	10750100
10750101	10750101
10750102	10750102
10750103	10750103
10750104	10750104
10750105	10750105
10750106	10750106
10750107	10750107
10750108	10750108
10750109	10750109
10750110	10750110
10750111	10750111
10750112	10750112
10750113	10750113
10750114	10750114
10750115	10750115
10750116	10750116
10750117	10750117
10750118	10750118
10750119	10750119
10750120	10750120
10750121	10750121
10750122	10750122
10750123	10750123
10750124	10750124
10750125	10750125
10750126	10750126
10750127	10750127
10750128	10750128
10750129	10750129
10750130	10750130
10750131	10750131
10750132	10750132
10750133	10750133
10750134	10750134
10750135	10750135
10750136	10750136
10750137	10750137
10750138	10750138
10750139	10750139
10750140	10750140
10750141	10750141
10750142	10750142
10750143	10750143
10750144	10750144
10750145	10750145
10750146	10750146
10750147	10750147
10750148	10750148
10750149	10750149
10750150	10750150
10750151	10750151
10750152	10750152
10750153	10750153
10750154	10750154
10750155	10750155
10750156	10750156
10750157	10750157
10750158	10750158
10750159	10750159
10750160	10750160
10750161	10750161
10750162	10750162
10750163	10750163
10750164	10750164
10750165	10750165
10750166	10750166
10750167	10750167
10750168	10750168
10750169	10750169
10750170	10750170
10750171	10750171
10750172	10750172
10750173	10750173
10750174	10750174
10750175	10750175
10750176	10750176
10750177	10750177
10750178	10750178
10750179	10750179
10750180	10750180
10750181	10750181
10750182	10750182
10750183	10750183
10750184	10750184
10750185	10750185
10750186	10750186
10750187	10750187
10750188	10750188
10750189	10750189
10750190	10750190
10750191	10750191
10750192	10750192
10750193	10750193
10750194	10750194
10750195	10750195
10750196	10750196
10750197	10750197
10750198	10750198
10750199	10750199
10750200	10750200
10750201	10750201
10750202	10750202
10750203	10750203
10750204	10750204
10750205	10750205
10750206	10750206
10750207	10750207
10750208	10750208
10750209	10750209
10750210	10750210
10750211	10750211
10750212	10750212
10750213	10750213
10750214	10750214
10750215	10750215
10750216	10750216
10750217	10750217
10750218	10750218
10750219	10750219
10750220	10750220
10750221	10750221
10750222	10750222
10750223	10750223
10750224	10750224
10750225	10750225
10750226	10750226
10750227	10750227
10750228	10750228
10750229	10750229
10750230	10750230
10750231	10750231
10750232	10750232
10750233	10750233
10750234	10750234
10750235	10750235
10750236	10750236
10750237	10750237
10750238	10750238
10750239	10750239
10750240	10750240
10750241	10750241
10750242	10750242
10750243	10750243
10750244	10750244
10750245	10750245
10750246	10750246
10750247	10750247
10750248	10750248
10750249	10750249
10750250	10750250
10750251	10750251
10750252	10750252
10750253	10750253
10750254	10750254
10750255	10750255
10750256	10750256
10750257	10750257
10750258	10750258
10750259	10750259
10750260	10750260
10750261	10750261
10750262	10750262
10750263	10750263
10750264	10750264
10750265	10750265
10750266	10750266
10750267	10750267
10750268	10750268
10750269	10750269
10750270	10750270
10750271	10750271
10750272	10750272
10750273	10750273
10750274	10750274
10750275	10750275
10750276	10750276
10750277	10750277
10750278	10750278
10750279	10750279
10750280	10750280
10750281	10750281
10750282	10750282
10750283	10750283
10750284	10750284
10750285	10750285
10750286	10750286
10750287	10750287
10750288	10750288
10750289	10750289
10750290	10750290
10750291	10750291
10750292	10750292
10750293	10750293
10750294	10750294
10750295	10750295
10750296	10750296
10750297	10750297
10750298	10750298
10750299	10750299
10750300	10750300
10750301	10750301
10750302	10750302
10750303	10750303
10750304	10750304
10750305	10750305
10750306	10750306
10750307	10750307
10750308	10750308
10750309	10750309
10750310	10750310
10750311	10750311
10750312	10750312
10750313	10750313
10750314	10750314
10750315	10750315
10750316	10750316
10750317	10750317
10750318	10750318
10750319	10750319
10750320	10750320
10750321	10750321
10750322	10750322
10750323	10750323
10750324	10750324
10750325	10750325
10750326	10750326
10750327	10750327
10750328	10750328
10750329	10750329
10750330	10750330
10750331	10750331
10750332	10750332
10750333	10750333
10750334	10750334
10750335	10750335
10750336	10750336
10750337	10750337
10750338	10750338
10750339	10750339
10750340	10750340
10750341	10750341
10750342	10750342
10750343	10750343
10750344	10750344
10750345	10750345
10750346	10750346
10750347	10750347
10750348	10750348
10750349	10750349
10750350	10750350
10750351	10750351
10750352	10750352
10750353	10750353
10750354	10750354
10750355	10750355
10750356	10750356
10750357	10750357
10750358	10750358
10750359	10750359
10750360	10750360
10750361	10750361
10750362	10750362
10750363	10750363
10750364	10750364
10750365	10750365
10750366	10750366
10750367	10750367
10750368	10750368
10750369	10750369
10750370	10750370
10750371	10750371
10750372	10750372
10750373	10750373
10750374	10750374
10750375	10750375
10750376	10750376
10750377	10750377
10750378	10750378
10750379	10750379
10750380	10750380
10750381	10750381
10750382	10750382
10750383	10750383
10750384	10750384
10750385	10750385
10750386	10750386
10750387	10750387
10750388	10750388
10750389	10750389
10750390	10750390
10750391	10750391
10750392	10750392
10750393	10750393
10750394	10750394
10750395	10750395
10750396	10750396
10750397	10750397
10750398	10750398
10750399	10750399
10750400	10750400
10750401	10750401
10750402	10750402
10750403	10750403
10750404	10750404
10750405	10750405
10750406	10750406
10750407	10750407
10750408	10750408
10750409	10750409
10750410	10750410
10750411	10750411
10750412	10750412
10750413	10750413
10750414	10750414
10750415	10750415
10750416	10750416
10750417	10750417
10750418	10750418
10750419	10750419
10750420	10750420
10750421	10750421
10750422	10750422
10750423	10750423
10750424	10750424
10750425	10750425
10750426	10750426
10750427	10750427
10750428	10750428
10750429	10750429
10750430	10750430
10750431	10750431
10750432	10750432
10750433	10750433
10750434	10750434
10750435	10750435
10750436	10750436
10750437	10750437
10750438	10750438
10750439	10750439
10750441	10750441
10750442	10750442
10750443	10750443
10750444	10750444
10750445	10750445
10750446	10750446
10750447	10750447
10750448	10750448
10750449	10750449
10750450	10750450
10750451	10750451
10750452	10750452
10750453	10750453
10750454	10750454
10750455	10750455
10750456	10750456
10750457	10750457
10750458	10750458
10750459	10750459
10750460	10750460
10750461	10750461
10750462	10750462
10750463	10750463
10750464	10750464
10750465	10750465
10750466	10750466
10750467	10750467
10750468	10750468
10750469	10750469
10750470	10750470
10750471	10750471
10750472	10750472
10750473	10750473
10750474	10750474
10750475	10750475
10750476	10750476
10750477	10750477
10750478	10750478
10750479	10750479
10750480	10750480
10750481	10750481
10750482	10750482
10750483	10750483
10750484	10750484
10750485	10750485
10750486	10750486
10750487	10750487
10750488	10750488
10750489	10750489
10750490	10750490
10750491	10750491
10750492	10750492
10750493	10750493
10750494	10750494
10750495	10750495
10750496	10750496
10750497	10750497
10750498	10750498
10750499	10750499
10750500	10750500
10750501	10750501
10750502	10750502
10750503	10750503
10750504	10750504
10750505	10750505
10750506	10750506
10750507	10750507
10750508	10750508
10750509	10750509
10750510	10750510
10750511	10750511
10750512	10750512
10750513	10750513
10750514	10750514
10750515	10750515
10750516	10750516
10750517	10750517
10750518	10750518
10750519	10750519
10750520	10750520
10750521	10750521
10750522	10750522
10750523	10750523
10750524	10750524
10750525	10750525
10750526	10750526
10750527	10750527
10750528	10750528
10750529	10750529
10750530	10750530
10750531	10750531
10750532	10750532
10750533	10750533
10750534	10750534
10750535	10750535
10750536	10750536
10750537	10750537
10750538	10750538
10750539	10750539
10750540	10750540
10750541	10750541
10750542	10750542
10750543	10750543
10750544	10750544
10750545	10750545
10750546	10750546
10750547	10750547
10750548	10750548
10750549	10750549
10750550	10750550
10750551	10750551
10750552	10750552
10750553	10750553
10750554	10750554
10750555	10750555
10750556	10750556
10750557	10750557
10750558	10750558
10750559	10750559
10750560	10750560
10750561	10750561
10750562	10750562
10750563	10750563
10750564	10750564
10750565	10750565
10750566	10750566
10750567	10750567
10750568	10750568
10750569	10750569
10750570	10750570
10750571	10750571
10750572	10750572
10750573	10750573
10750574	10750574
10750575	10750575
10750576	10750576
10750577	10750577
10750578	10750578
10750579	10750579
10750580	10750580
10750581	10750581
10750582	10750582
10750583	10750583
10750584	10750584
10750585	10750585
10750586	10750586
10750587	10750587
10750588	10750588
10750589	10750589
10750590	10750590
10750591	10750591
10750592	10750592
10750593	10750593
10750594	10750594
10750595	10750595
10750596	10750596
10750597	10750597
10750598	10750598
10750599	10750599
10750600	10750600
10750601	10750601
10750602	10750602
10750603	10750603
10750604	10750604
10750605	10750605
10750606	10750606
10750607	10750607
10750608	10750608
10750609	10750609
10750610	10750610
10750611	10750611
10750612	10750612
10750613	10750613
10750614	10750614
10750615	10750615
10750616	10750616
10750617	10750617
10750618	10750618
10750619	10750619
10750620	10750620
10750621	10750621
10750622	10750622
10750623	10750623
10750624	10750624
10750625	10750625
10750626	10750626
10750627	10750627
10750628	10750628
10750629	10750629
10750630	10750630
10750631	10750631
10750632	10750632
10750633	10750633
10750634	10750634
10750635	10750635
10750636	10750636
10750637	10750637
10750638	10750638
10750639	10750639
10750640	10750640
10750641	10750641
10750642	10750642
10750643	10750643
10750644	10750644
10750645	10750645
10750646	10750646
10750647	10750647
10750648	10750648
10750649	10750649
10750650	10750650
10750651	10750651
10750652	10750652
10750653	10750653
10750654	10750654
10750655	10750655
10750656	10750656
10750657	10750657
10750658	10750658
10750659	10750659
10750660	10750660
10750661	10750661
10750662	10750662
10750663	10750663
10750664	10750664
10950001	10950001
10950002	10950002
10950003	10950003
10950004	10950004
10950005	10950005
10950006	10950006
10950007	10950007
10950008	10950008
10950009	10950009
10950010	10950010
10950011	10950011
10950012	10950012
10950013	10950013
10950014	10950014
10950015	10950015
10950016	10950016
10950017	10950017
10950018	10950018
10950019	10950019
10950020	10950020
10950021	10950021
10950022	10950022
10950023	10950023
10950024	10950024
10950025	10950025
10950026	10950026
10950027	10950027
10950028	10950028
10950029	10950029
10950030	10950030
10950031	10950031
10950032	10950032
10950033	10950033
10950034	10950034
10950035	10950035
10950036	10950036
10950037	10950037
10950038	10950038
10950039	10950039
10950040	10950040
10950041	10950041
10950042	10950042
10950043	10950043
10950044	10950044
10950045	10950045
10950046	10950046
10950047	10950047
10950048	10950048
10950049	10950049
10950050	10950050
10950051	10950051
10950052	10950052
10950053	10950053
10950054	10950054
10950055	10950055
10950056	10950056
10950057	10950057
10950058	10950058
10950059	10950059
10950060	10950060
10950061	10950061
10950062	10950062
10950063	10950063
10950064	10950064
10950065	10950065
10950066	10950066
10950067	10950067
10950068	10950068
10950069	10950069
10950070	10950070
10950071	10950071
10950072	10950072
10950073	10950073
10950074	10950074
10950075	10950075
10950076	10950076
10950077	10950077
10950078	10950078
10950079	10950079
10950080	10950080
10950081	10950081
10950082	10950082
10950083	10950083
10950084	10950084
10950085	10950085
10950086	10950086
10950087	10950087
10950088	10950088
10950089	10950089
10950090	10950090
10950091	10950091
10950092	10950092
10950093	10950093
10950094	10950094
10950095	10950095
10950096	10950096
10950097	10950097
10950098	10950098
10950099	10950099
10950100	10950100
10950101	10950101
10950102	10950102
10950103	10950103
10950104	10950104
10950105	10950105
10950106	10950106
10950107	10950107
10950108	10950108
10950109	10950109
10950110	10950110
10950111	10950111
10950112	10950112
10950113	10950113
10950114	10950114
10950115	10950115
10950116	10950116
10950117	10950117
10950118	10950118
10950119	10950119
10950120	10950120
10950121	10950121
10950122	10950122
10950123	10950123
10950124	10950124
10950125	10950125
10950126	10950126
10950127	10950127
10950128	10950128
10950129	10950129
10950130	10950130
10950131	10950131
10950132	10950132
10950133	10950133
10950134	10950134
10950135	10950135
10950136	10950136
10950137	10950137
10950138	10950138
10950139	10950139
10950140	10950140
10950141	10950141
10950142	10950142
10950143	10950143
10950144	10950144
10950145	10950145
10950146	10950146
10950147	10950147
10950148	10950148
10950149	10950149
10950150	10950150
10950151	10950151
10950152	10950152
10950153	10950153
10950154	10950154
10950155	10950155
10950156	10950156
10950157	10950157
10950158	10950158
10950159	10950159
10950160	10950160
10950161	10950161
10950162	10950162
10950163	10950163
10950164	10950164
10950165	10950165
10950166	10950166
10950167	10950167
10950168	10950168
10950169	10950169
10950170	10950170
10950171	10950171
10950172	10950172
10950173	10950173
10950174	10950174
10950175	10950175
10950176	10950176
10950177	10950177
10950178	10950178
10950179	10950179
10950180	10950180
10950181	10950181
10950182	10950182
10950183	10950183
10950184	10950184
10950185	10950185
10950186	10950186
10950187	10950187
10950188	10950188
10950189	10950189
10950190	10950190
10950191	10950191
10950192	10950192
10950193	10950193
10950194	10950194
10950195	10950195
10950196	10950196
10950197	10950197
10950198	10950198
10950199	10950199
10950200	10950200
10950201	10950201
10950202	10950202
10950203	10950203
10950204	10950204
10950205	10950205
10950206	10950206
10950207	10950207
10950208	10950208
10950209	10950209
10950210	10950210
10950211	10950211
10950212	10950212
10950213	10950213
10950214	10950214
10950215	10950215
10950216	10950216
10950217	10950217
10950218	10950218
10950219	10950219
10950220	10950220
10950221	10950221
10950222	10950222
10950223	10950223
10950224	10950224
10950225	10950225
10950226	10950226
10950227	10950227
10950228	10950228
10950229	10950229
10950230	10950230
10950231	10950231
10950232	10950232
10950233	10950233
10950234	10950234
10950235	10950235
10950236	10950236
10950237	10950237
10950238	10950238
10950239	10950239
10950240	10950240
10950241	10950241
10950242	10950242
10950243	10950243
10950244	10950244
10950245	10950245
10950246	10950246
10950247	10950247
10950248	10950248
10950249	10950249
10950250	10950250
10950251	10950251
10950252	10950252
10950253	10950253
10950254	10950254
10950255	10950255
10950256	10950256
10950257	10950257
10950258	10950258
10950259	10950259
10950260	10950260
10950261	10950261
10950262	10950262
10950263	10950263
10950264	10950264
10950265	10950265
10950266	10950266
10950267	10950267
10950268	10950268
10950269	10950269
10950270	10950270
10950271	10950271
10950272	10950272
10950273	10950273
10950274	10950274
10950275	10950275
10950276	10950276
10950277	10950277
10950278	10950278
10950279	10950279
10950280	10950280
10950281	10950281
10950282	10950282
10950283	10950283
10950284	10950284
10950285	10950285
10950286	10950286
10950287	10950287
10950288	10950288
10950289	10950289
10950290	10950290
10950291	10950291
10950292	10950292
10950293	10950293
10950294	10950294
10950295	10950295
10950296	10950296
10950297	10950297
10950298	10950298
10950299	10950299
10950300	10950300
10950301	10950301
10950302	10950302
10950303	10950303
10950304	10950304
10950305	10950305
10950306	10950306
10950307	10950307
10950308	10950308
10950309	10950309
10950310	10950310
10950311	10950311
10950312	10950312
10950313	10950313
10950314	10950314
10950315	10950315
10950316	10950316
10950317	10950317
10950318	10950318
10950319	10950319
10950320	10950320
10950321	10950321
10950322	10950322
10950323	10950323
10950324	10950324
10950325	10950325
10950326	10950326
10950327	10950327
10950328	10950328
10950329	10950329
10950330	10950330
10950331	10950331
10950332	10950332
10950333	10950333
10950334	10950334
10950335	10950335
10950336	10950336
10950337	10950337
10950338	10950338
10950339	10950339
10950340	10950340
10950341	10950341
10950342	10950342
10950343	10950343
10950344	10950344
10950345	10950345
10950346	10950346
10950347	10950347
10950348	10950348
10950349	10950349
10950350	10950350
10950351	10950351
10950352	10950352
10950353	10950353
10950354	10950354
10950355	10950355
10950356	10950356
10950357	10950357
10950358	10950358
10950359	10950359
10950360	10950360
10950361	10950361
10950362	10950362
10950363	10950363
10950364	10950364
10950365	10950365
10950366	10950366
10950367	10950367
10950368	10950368
10950369	10950369
10950370	10950370
10950371	10950371
10950372	10950372
10950373	10950373
10950374	10950374
10950375	10950375
10950376	10950376
10950377	10950377
10950378	10950378
10950379	10950379
10950380	10950380
10950381	10950381
10950382	10950382
10950383	10950383
10950384	10950384
10950385	10950385
10950386	10950386
10950387	10950387
10950388	10950388
10950389	10950389
10950390	10950390
10950391	10950391
10950392	10950392
10950393	10950393
10950394	10950394
10950395	10950395
10950396	10950396
10950397	10950397
10950398	10950398
10950399	10950399
10950400	10950400
10950401	10950401
10950402	10950402
10950403	10950403
10950404	10950404
10950405	10950405
10950406	10950406
10950407	10950407
10950408	10950408
10950409	10950409
10950410	10950410
10950411	10950411
10950412	10950412
10950413	10950413
10950414	10950414
10950415	10950415
10950416	10950416
10950417	10950417
10950418	10950418
10950419	10950419
