Level	Gold	DragonCoinCost	DiamondCost
38	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
39	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
40	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
41	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
42	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
43	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
44	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
45	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
46	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
47	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
48	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
49	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
50	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
51	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
52	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
53	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
54	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
55	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
56	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
57	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
58	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
59	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
60	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
61	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
62	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
63	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
64	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
65	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
66	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
67	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
68	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
69	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
70	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
71	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
72	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
73	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
74	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
75	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
76	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
77	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
78	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
79	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
80	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
81	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
82	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
83	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
84	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
85	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
86	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
87	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
88	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
89	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
90	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
91	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
92	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
93	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
94	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
95	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
96	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
97	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
98	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
99	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
100	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
101	50000	50|50|50|50|50|50|50|50|50|50	
102	50000	50|50|50|50|50|50|50|50|50|50	
103	50000	50|50|50|50|50|50|50|50|50|50	
104	50000	50|50|50|50|50|50|50|50|50|50	
105	50000	50|50|50|50|50|50|50|50|50|50	
106	50000	50|50|50|50|50|50|50|50|50|50	
107	50000	50|50|50|50|50|50|50|50|50|50	
108	50000	50|50|50|50|50|50|50|50|50|50	
109	50000	50|50|50|50|50|50|50|50|50|50	
110	50000	50|50|50|50|50|50|50|50|50|50	
111	50000	50|50|50|50|50|50|50|50|50|50	
112	50000	50|50|50|50|50|50|50|50|50|50	
113	50000	50|50|50|50|50|50|50|50|50|50	
114	50000	50|50|50|50|50|50|50|50|50|50	
115	50000	50|50|50|50|50|50|50|50|50|50	
116	50000	50|50|50|50|50|50|50|50|50|50	
117	50000	50|50|50|50|50|50|50|50|50|50	
118	50000	50|50|50|50|50|50|50|50|50|50	
119	50000	50|50|50|50|50|50|50|50|50|50	
120	50000	50|50|50|50|50|50|50|50|50|50	
121	50000	50|50|50|50|50|50|50|50|50|50	
122	50000	50|50|50|50|50|50|50|50|50|50	
123	50000	50|50|50|50|50|50|50|50|50|50	
124	50000	50|50|50|50|50|50|50|50|50|50	
125	50000	50|50|50|50|50|50|50|50|50|50	
126	50000	50|50|50|50|50|50|50|50|50|50	
127	50000	50|50|50|50|50|50|50|50|50|50	
128	50000	50|50|50|50|50|50|50|50|50|50	
129	50000	50|50|50|50|50|50|50|50|50|50	
130	50000	50|50|50|50|50|50|50|50|50|50	
131	50000	50|50|50|50|50|50|50|50|50|50	
132	50000	50|50|50|50|50|50|50|50|50|50	
133	50000	50|50|50|50|50|50|50|50|50|50	
134	50000	50|50|50|50|50|50|50|50|50|50	
135	50000	50|50|50|50|50|50|50|50|50|50	
136	50000	50|50|50|50|50|50|50|50|50|50	
137	50000	50|50|50|50|50|50|50|50|50|50	
138	50000	50|50|50|50|50|50|50|50|50|50	
139	50000	50|50|50|50|50|50|50|50|50|50	
140	50000	50|50|50|50|50|50|50|50|50|50	
141	50000	50|50|50|50|50|50|50|50|50|50	
142	50000	50|50|50|50|50|50|50|50|50|50	
143	50000	50|50|50|50|50|50|50|50|50|50	
144	50000	50|50|50|50|50|50|50|50|50|50	
145	50000	50|50|50|50|50|50|50|50|50|50	
146	50000	50|50|50|50|50|50|50|50|50|50	
147	50000	50|50|50|50|50|50|50|50|50|50	
148	50000	50|50|50|50|50|50|50|50|50|50	
149	50000	50|50|50|50|50|50|50|50|50|50	
150	50000	50|50|50|50|50|50|50|50|50|50	
151	50000	50|50|50|50|50|50|50|50|50|50	
152	50000	50|50|50|50|50|50|50|50|50|50	
153	50000	50|50|50|50|50|50|50|50|50|50	
154	50000	50|50|50|50|50|50|50|50|50|50	
155	50000	50|50|50|50|50|50|50|50|50|50	
156	50000	50|50|50|50|50|50|50|50|50|50	
157	50000	50|50|50|50|50|50|50|50|50|50	
158	50000	50|50|50|50|50|50|50|50|50|50	
159	50000	50|50|50|50|50|50|50|50|50|50	
160	50000	50|50|50|50|50|50|50|50|50|50	
161	50000	50|50|50|50|50|50|50|50|50|50	
162	50000	50|50|50|50|50|50|50|50|50|50	
163	50000	50|50|50|50|50|50|50|50|50|50	
164	50000	50|50|50|50|50|50|50|50|50|50	
165	50000	50|50|50|50|50|50|50|50|50|50	
166	50000	50|50|50|50|50|50|50|50|50|50	
167	50000	50|50|50|50|50|50|50|50|50|50	
168	50000	50|50|50|50|50|50|50|50|50|50	
169	50000	50|50|50|50|50|50|50|50|50|50	
170	50000	50|50|50|50|50|50|50|50|50|50	
171	50000	50|50|50|50|50|50|50|50|50|50	
172	50000	50|50|50|50|50|50|50|50|50|50	
173	50000	50|50|50|50|50|50|50|50|50|50	
174	50000	50|50|50|50|50|50|50|50|50|50	
175	50000	50|50|50|50|50|50|50|50|50|50	
176	50000	50|50|50|50|50|50|50|50|50|50	
177	50000	50|50|50|50|50|50|50|50|50|50	
178	50000	50|50|50|50|50|50|50|50|50|50	
179	50000	50|50|50|50|50|50|50|50|50|50	
180	50000	50|50|50|50|50|50|50|50|50|50	
181	50000	50|50|50|50|50|50|50|50|50|50	
182	50000	50|50|50|50|50|50|50|50|50|50	
183	50000	50|50|50|50|50|50|50|50|50|50	
184	50000	50|50|50|50|50|50|50|50|50|50	
185	50000	50|50|50|50|50|50|50|50|50|50	
186	50000	50|50|50|50|50|50|50|50|50|50	
187	50000	50|50|50|50|50|50|50|50|50|50	
188	50000	50|50|50|50|50|50|50|50|50|50	
189	50000	50|50|50|50|50|50|50|50|50|50	
190	50000	50|50|50|50|50|50|50|50|50|50	
191	50000	50|50|50|50|50|50|50|50|50|50	
192	50000	50|50|50|50|50|50|50|50|50|50	
193	50000	50|50|50|50|50|50|50|50|50|50	
194	50000	50|50|50|50|50|50|50|50|50|50	
195	50000	50|50|50|50|50|50|50|50|50|50	
196	50000	50|50|50|50|50|50|50|50|50|50	
197	50000	50|50|50|50|50|50|50|50|50|50	
198	50000	50|50|50|50|50|50|50|50|50|50	
199	50000	50|50|50|50|50|50|50|50|50|50	
200	50000	50|50|50|50|50|50|50|50|50|50	
