Prefab	Idle	Move	Jump	Fall	Dash	Charge	Freeze	Behit	BehitFly	BehitRoll	BehitSuperArmor	Death
Monster_orc_desert								common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/orc_dead|common/behit
Monster_orc_gray								common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/orc_dead|common/behit
Monster_runtiger_white								common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/orc_dead|common/behit
Monster_runtiger_asai								common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/orc_dead|common/behit
Monster_runtiger_blue								common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/orc_dead|common/behit
Monster_runtiger_black								common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/orc_dead|common/behit
Monster_ogre_black_small								common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/Monster_ogre_black_small_dead
Monster_ogre_white								common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_dead
Monster_ogre_black								common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_dead
Monster_ogre_opposer								common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_dead
Monster_ogre_red								common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_dead
BOSS_redorc								common/orc_behit	common/orc_behit	common/orc_behit	common/orc_behit	common/orc_dead
Monster_queen_spider								common/queen_spider_behit|common/behit	common/queen_spider_behit|common/behit	common/queen_spider_behit|common/behit	common/queen_spider_behit|common/behit	common/queen_spider_dead
Monster_queen_spider_swamp								common/queen_spider_behit|common/behit	common/queen_spider_behit|common/behit	common/queen_spider_behit|common/behit	common/queen_spider_behit|common/behit	common/queen_spider_dead
Monster_spider_black								common/queen_spider_behit|common/behit	common/queen_spider_behit|common/behit	common/queen_spider_behit|common/behit	common/queen_spider_behit|common/behit	common/queen_spider_dead
Monster_troll_blue								common/Monster_troll_bite|common/behit	common/Monster_troll_bite|common/behit	common/Monster_troll_bite|common/behit	common/Monster_troll_bite|common/behit	common/Monster_troll_dead
Monster_troll_black_bone								common/Monster_troll_bite|common/behit	common/Monster_troll_bite|common/behit	common/Monster_troll_bite|common/behit	common/Monster_troll_bite|common/behit	common/Monster_troll_dead
Monster_troll_black								common/Monster_troll_bite|common/behit	common/Monster_troll_bite|common/behit	common/Monster_troll_bite|common/behit	common/Monster_troll_bite|common/behit	common/Monster_troll_dead
Monster_troll_red								common/Monster_troll_bite|common/behit	common/Monster_troll_bite|common/behit	common/Monster_troll_bite|common/behit	common/Monster_troll_bite|common/behit	common/Monster_troll_dead
Monster_gargoyle_blue								common/behit	common/behit	common/behit	common/behit	common/Monster_gargoyle_dead
Monster_gargoyle_green								common/behit	common/behit	common/behit	common/behit	common/Monster_gargoyle_dead
Monster_gargoyle_red								common/behit	common/behit	common/behit	common/behit	common/Monster_gargoyle_red_dead
Monster_lizardman_green								common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_dead
Monster_lizardman_white								common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_dead
Monster_lizardman_black								common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_dead
Monster_lizardman_green_small								common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_behit|common/behit	common/Monster_lizardman_green_small_dead
Monster_spittler_green								common/Monster_spittler_behit|common/behit	common/Monster_spittler_behit|common/behit	common/Monster_spittler_behit|common/behit	common/Monster_spittler_behit|common/behit	common/Monster_spittler_dead
Monster_ghoul_blue								common/Monster_ghoul_behit|common/behit	common/Monster_ghoul_behit|common/behit	common/Monster_ghoul_behit|common/behit	common/Monster_ghoul_behit|common/behit	common/Monster_ghoul_dead
Monster_ghoul_green								common/Monster_ghoul_behit|common/behit	common/Monster_ghoul_behit|common/behit	common/Monster_ghoul_behit|common/behit	common/Monster_ghoul_behit|common/behit	common/Monster_ghoul_dead
Monster_ghoul_mummy								common/Monster_ghoul_behit|common/behit	common/Monster_ghoul_behit|common/behit	common/Monster_ghoul_behit|common/behit	common/Monster_ghoul_behit|common/behit	common/Monster_ghoul_dead
Monster_hopgoblin_black								common/Monster_hopgoblin_behit|common/dragonnest_behit	common/Monster_hopgoblin_behit|common/dragonnest_behit	common/Monster_hopgoblin_behit|common/dragonnest_behit	common/Monster_hopgoblin_behit|common/dragonnest_behit	common/Monster_hopgoblin_dead
Monster_hopgoblin_green								common/Monster_hopgoblin_behit|common/dragonnest_behit	common/Monster_hopgoblin_behit|common/dragonnest_behit	common/Monster_hopgoblin_behit|common/dragonnest_behit	common/Monster_hopgoblin_behit|common/dragonnest_behit	common/Monster_hopgoblin_dead
Monster_bat_black								common/behit	common/behit	common/behit	common/behit	common/XB_bianfu_dead
Monster_skeleton_gray								common/XB_Kuloubing_behit|common/behit	common/XB_Kuloubing_behit|common/behit	common/XB_Kuloubing_behit|common/behit	common/XB_Kuloubing_behit|common/behit	common/XB_Kuloubing_dead
Monster_skeleton_green								common/XB_Kuloubing_behit|common/behit	common/XB_Kuloubing_behit|common/behit	common/XB_Kuloubing_behit|common/behit	common/XB_Kuloubing_behit|common/behit	common/XB_Kuloubing_dead
Monster_skeleton_black								common/XB_Kuloubing_behit|common/behit	common/XB_Kuloubing_behit|common/behit	common/XB_Kuloubing_behit|common/behit	common/XB_Kuloubing_behit|common/behit	common/XB_Kuloubing_dead
Monster_cyclops_green								common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_behit|common/dragonnest_behit	common/XB_shirenmo_dead
Monster_broo_white								common/Monster_broo_behit|common/behit	common/Monster_broo_behit|common/behit	common/Monster_broo_behit|common/behit	common/Monster_broo_behit|common/behit	common/Monster_broo_dead
Monster_broo_black								common/Monster_broo_behit|common/behit	common/Monster_broo_behit|common/behit	common/Monster_broo_behit|common/behit	common/Monster_broo_behit|common/behit	common/Monster_broo_dead
Monster_broo_blue								common/Monster_broo_behit|common/behit	common/Monster_broo_behit|common/behit	common/Monster_broo_behit|common/behit	common/Monster_broo_behit|common/behit	common/Monster_broo_dead
Monster_broo_red								common/Monster_broo_behit|common/behit	common/Monster_broo_behit|common/behit	common/Monster_broo_behit|common/behit	common/Monster_broo_behit|common/behit	common/Monster_broo_dead
Monster_minotauros_black								common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_dead
Monster_minotauros_white								common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_dead
Monster_minotauros_red								common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_dead
Monster_minotauros_bossy								common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_dead
Monster_minotauros_gray								common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_dead
Monster_minotauros_white_lightning								common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_dead
Monster_minotauros_white_ice								common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_dead
Monster_minotauros_black_fire								common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_dead
Monster_minotauros_gray_small								common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/Monster_minotauros_gray_small_dead
Monster_minotauros_white_small								common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/BOSS_niutou_behit|common/dragonnest_behit	common/Monster_minotauros_white_small_dead
Player_sorceress_SkinnedMesh		Player_sorceress/player_sorceress_foot						common/Player_sorceress_behit|common/behit	common/player_sorceress_jifei|common/behit	common/player_sorceress_jigun|common/behit	common/Player_sorceress_behit|common/behit	common/Player_sorceress_dead|common/behit
Monster_kobold_gun								common/Monster_kobold_gun_behit	common/Monster_kobold_gun_behit	common/Monster_kobold_gun_behit	common/Monster_kobold_gun_behit	common/Monster_kobold_gun_dead
Monster_koboldwarrior_yellow								common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_dead
Monster_koboldwarrior_green								common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_dead
Monster_koboldwarrior_black								common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_dead
Monster_koboldarcher_green								common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_dead
Monster_koboldarcher_black								common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_dead
Monster_knoll_worrior								common/Monster_knoll_warrior_behit|common/behit	common/Monster_knoll_warrior_behit|common/behit	common/Monster_knoll_warrior_behit|common/behit	common/Monster_knoll_warrior_behit|common/behit	common/Monster_koboldwarrior_dead
Monster_knoll_desertwarrior								common/Monster_knoll_warrior_behit|common/behit	common/Monster_knoll_warrior_behit|common/behit	common/Monster_knoll_warrior_behit|common/behit	common/Monster_knoll_warrior_behit|common/behit	common/Monster_koboldwarrior_dead
Monster_koboldarcher_yellow								common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_behit|common/behit	common/Monster_koboldwarrior_dead
Monster_sea_dragon								common/Monster_sea_dragon_behit|common/dragonnest_behit	common/Monster_sea_dragon_behit|common/dragonnest_behit	common/Monster_sea_dragon_behit|common/dragonnest_behit	common/Monster_sea_dragon_behit|common/dragonnest_behit	
Monster_wraith_red								common/Monster_wraith_behit|common/dragonnest_behit	common/Monster_wraith_behit|common/dragonnest_behit	common/Monster_wraith_behit|common/dragonnest_behit	common/Monster_wraith_behit|common/dragonnest_behit	common/Monster_wraith_dead
Monster_sea_dragon_onephase								common/Monster_sea_dragon_behit|common/dragonnest_behit	common/Monster_sea_dragon_behit|common/dragonnest_behit	common/Monster_sea_dragon_behit|common/dragonnest_behit	common/Monster_sea_dragon_behit|common/dragonnest_behit	
Monster_rhinoman_chief								common/Monster_rhinoman_chief_behit|common/dragonnest_behit	common/Monster_rhinoman_chief_behit|common/dragonnest_behit	common/Monster_rhinoman_chief_behit|common/dragonnest_behit	common/Monster_rhinoman_chief_behit|common/dragonnest_behit	common/Monster_rhinoman_chief_dead
Player_archer_SkinnedMesh		Player_archer/Player_archer_foot						common/Player_archer_behit|common/behit	common/player_archer_jifei|common/behit	common/player_archer_jigun|common/behit	common/Player_archer_behit|common/behit	common/Player_archer_dead|common/behit
Monster_darkelf_red								common/behit	common/behit	common/behit	common/behit	common/Player_archer_dead|common/behit
Monster_darkelf_gray								common/behit	common/behit	common/behit	common/behit	common/Player_archer_dead|common/behit
Monster_darkelf_realred								common/behit	common/behit	common/behit	common/behit	common/Player_archer_dead|common/behit
Monster_darkelf_blue								common/behit	common/behit	common/behit	common/behit	common/Player_archer_dead|common/behit
Monster_lamia								common/behit	common/behit	common/behit	common/behit	common/Player_archer_dead|common/behit
Monster_lamia_blue								common/behit	common/behit	common/behit	common/behit	common/Player_archer_dead|common/behit
Monster_harpy_blue								common/behit	common/behit	common/behit	common/behit	
Monster_harpy_red								common/behit	common/behit	common/behit	common/behit	
Monster_halfgolem_stone								common/behit	common/behit	common/behit	common/behit	common/Monster_gargoyle_dead
Monster_halfgolem_green								common/behit	common/behit	common/behit	common/behit	common/Monster_gargoyle_dead
Monster_halfgolem_stone_small								common/behit	common/behit	common/behit	common/behit	common/Monster_halfgolem_stone_small_dead
Monster_cerberos								common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	
Monster_manticore								common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	
Monster_manticore_yellow								common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	
NPC_Velskud								common/BOSS_human_behit	common/BOSS_human_behit	common/BOSS_human_behit	common/BOSS_human_behit	
Monster_jasmin								common/Player_sorceress_behit|common/behit	common/player_sorceress_jifei|common/behit	common/player_sorceress_jigun|common/behit	common/Player_sorceress_behit|common/behit	common/Player_sorceress_dead|common/behit
Monster_deathknight								common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	
Monster_deathknight_yellow								common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	
Monster_asaishaman_black								common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	
Monster_asaiworrior_blue								common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	
Monster_mimic_gold								common/mutong	common/mutong	common/mutong		UI/UI_PickupChest
Monster_mimic_gold_doodad								common/mutong	common/mutong	common/mutong		UI/UI_PickupChest
Monster_mimic_normal								common/mutong	common/mutong	common/mutong		UI/UI_PickupChest
Monster_asaiworrior_hunter								common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	
Monster_basilisk								common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	common/dragonnest_behit	
Broken_mutong								common/mutong	common/mutong	common/mutong		common/mutong
Broken_spideregg												common/zhizhudan
Broken_barrier								common/mutong	common/mutong	common/mutong		common/zhalan
Broken_black_stone								common/behit	common/behit	common/behit		common/shuijin
Broken_deadwood								common/mutong	common/mutong	common/mutong		common/zhalan
Broken_bookcase								common/mutong	common/mutong	common/mutong		common/Broken_deadwood_dead
Player_cleric_SkinnedMesh		Player_cleric/player_cleric_foot						common/player_cleric_bvh_01|common/behit	common/player_cleric_bvh_02|common/behit	common/player_cleric_bvh_03|common/behit	common/player_cleric_bvh_01|common/behit	common/player_cleric_bvh_04|common/behit
Player_warrior_godwar_master								common/BOSS_human_behit	common/BOSS_human_behit	common/BOSS_human_behit	common/BOSS_human_behit	
Player_warrior_blademaster_master								common/BOSS_human_behit	common/BOSS_human_behit	common/BOSS_human_behit	common/BOSS_human_behit	
Player_cleric_priest_master								common/BOSS_human_behit	common/BOSS_human_behit	common/BOSS_human_behit	common/BOSS_human_behit	
Player_cleric_sage_master								common/BOSS_human_behit	common/BOSS_human_behit	common/BOSS_human_behit	common/BOSS_human_behit	
Player_sorceress_element_master								common/Player_sorceress_behit|common/behit	common/player_sorceress_jifei|common/behit	common/player_sorceress_jigun|common/behit	common/Player_sorceress_behit|common/behit	common/Player_sorceress_dead|common/behit
Player_sorceress_magictutor_master								common/Player_sorceress_behit|common/behit	common/player_sorceress_jifei|common/behit	common/player_sorceress_jigun|common/behit	common/Player_sorceress_behit|common/behit	common/Player_sorceress_dead|common/behit
Player_archer_arrow_master								common/Player_archer_behit|common/behit	common/player_archer_jifei|common/behit	common/player_archer_jigun|common/behit	common/Player_archer_behit|common/behit	common/Player_archer_dead|common/behit
Player_archer_ranger_master								common/Player_archer_behit|common/behit	common/player_archer_jifei|common/behit	common/player_archer_jigun|common/behit	common/Player_archer_behit|common/behit	common/Player_archer_dead|common/behit
Player_academic_SkinnedMesh		Player_academic/Player_academic_foot						common/Player_academic_behit	common/Player_academic_behit	common/Player_academic_behit	common/Player_academic_behit	common/Player_academic_dead
Player_assassin_SkinnedMesh		Player_assassin/player_assassin_foot						common/player_assassin_behit	common/player_assassin_behit	common/player_assassin_behit	common/player_assassin_behit	common/Player_assassin_dead
Mount_horse		Mount_horse/Mount_horse_footstepGroup										
Mount_horse_black		Mount_horse_black/Mount_horse_black_footstepGroup										
Mount_redhare		Mount_horse/Mount_horse_footstepGroup										
Mount_alpaca		Mount_Alpaca/Mount_Alpaca_footstepGroup										
Mount_sheep_angel		Mount_Sheep/Mount_Sheep_footstepGroup										
Mount_sheep_pig_king		Mount_Sheep/Mount_Sheep_footstepGroup										
Mount_hellhorse		Mount_hellhorse/Mount_hellhorse_footstepGroup										
Mount_sabretiger		Mount_tiger/Mount_tiger										
Mount_scooter		Mount_Motor/Mount_Motor										
Mount_marry_car		Mount_FancyCar/Mount_FancyCar										
Player_kali_SkinnedMesh		Player_sorceress/player_sorceress_foot						Player_kali/Player_kali_behit	Player_kali/Player_kali_behit	Player_kali/Player_kali_behit	Player_kali/Player_kali_behit	Player_kali/Player_kali_dead
